 , ,QR LinkInstance data csv
Course:, ,ECE3246 - SECURITY AND CRYPTOGRAPHY (FOE_CYB, TRIM : 1820)
CourseID:, ,368
CoordID:, ,1542024588

TTID,Validity,Result status
460,False,You are not register to this class.
461,False,You are not register to this class.
462,False,You are not register to this class.
463,False,You are not register to this class.
464,False,You are not register to this class.
465,False,You are not register to this class.
466,False,You are not register to this class.
467,False,You are not register to this class.
468,False,You are not register to this class.
469,False,You are not register to this class.
470,False,You are not register to this class.
471,False,You are not register to this class.
472,False,You are not register to this class.
473,False,You are not register to this class.
474,False,You are not register to this class.
475,False,You are not register to this class.
476,False,You are not register to this class.
477,False,You are not register to this class.
478,False,You are not register to this class.
479,False,You are not register to this class.
480,False,You are not register to this class.
481,False,You are not register to this class.
482,False,You are not register to this class.
483,False,You are not register to this class.
484,False,You are not register to this class.
485,False,You are not register to this class.
486,False,You are not register to this class.
487,False,You are not register to this class.
488,False,You are not register to this class.
489,False,You are not register to this class.
490,False,You are not register to this class.
491,False,You are not register to this class.
492,False,You are not register to this class.
493,False,You are not register to this class.
494,False,You are not register to this class.
495,False,You are not register to this class.
496,False,You are not register to this class.
497,False,You are not register to this class.
498,False,You are not register to this class.
499,False,You are not register to this class.
500,False,You are not register to this class.
501,False,You are not register to this class.
502,False,You are not register to this class.
503,False,You are not register to this class.
504,False,You are not register to this class.
505,False,You are not register to this class.
506,False,You are not register to this class.
507,False,You are not register to this class.
508,False,You are not register to this class.
509,False,You are not register to this class.
510,False,You are not register to this class.
511,False,You are not register to this class.
512,False,You are not register to this class.
513,False,You are not register to this class.
514,False,You are not register to this class.
515,False,You are not register to this class.
516,False,You are not register to this class.
517,False,You are not register to this class.
518,False,You are not register to this class.
519,False,You are not register to this class.
520,False,You are not register to this class.
521,False,You are not register to this class.
522,False,You are not register to this class.
523,False,You are not register to this class.
524,False,You are not register to this class.
525,False,You are not register to this class.
526,False,You are not register to this class.
527,False,You are not register to this class.
528,False,You are not register to this class.
529,False,You are not register to this class.
530,False,You are not register to this class.
531,False,You are not register to this class.
532,False,You are not register to this class.
533,False,You are not register to this class.
534,False,You are not register to this class.
535,False,You are not register to this class.
536,False,You are not register to this class.
